20230406	4000	48	2
0.00	103.26	189.53	244.63	259.49	231.66	165.73	72.54	-32.59	-132.35	-210.34	-253.74	-255.39	-215.04	-139.31	-40.67	64.66	159.36	227.84	258.85	247.27	195.03	110.70	8.17	-95.71	-183.85	-241.74	-259.87	-235.26	-171.94	-80.34	24.47	125.26	205.44	251.83	256.80	219.53	146.14	48.72	-56.72	-152.82	-223.79	-257.95	-249.68	-200.33	-118.04	-16.33	88.07
177.98	238.62	260.00	238.62	177.98	88.07	-16.33	-118.04	-200.33	-249.68	-257.95	-223.79	-152.82	-56.72	48.72	146.14	219.53	256.80	251.83	205.44	125.26	24.47	-80.34	-171.94	-235.26	-259.87	-241.74	-183.85	-95.71	8.17	110.70	195.03	247.27	258.85	227.84	159.36	64.66	-40.67	-139.31	-215.04	-255.39	-253.74	-210.34	-132.35	-32.59	72.54	165.73	231.66
259.49	244.63	189.53	103.26	0.00	-103.26	-189.53	-244.63	-259.49	-231.66	-165.73	-72.54	32.59	132.35	210.34	253.74	255.39	215.04	139.31	40.67	-64.66	-159.36	-227.84	-258.85	-247.27	-195.03	-110.70	-8.17	95.71	183.85	241.74	259.87	235.26	171.94	80.34	-24.47	-125.26	-205.44	-251.83	-256.80	-219.53	-146.14	-48.72	56.72	152.82	223.79	257.95	249.68
200.33	118.04	16.33	-88.07	-177.98	-238.62	-260.00	-238.62	-177.98	-88.07	16.33	118.04	200.33	249.68	257.95	223.79	152.82	56.72	-48.72	-146.14	-219.53	-256.80	-251.83	-205.44	-125.26	-24.47	80.34	171.94	235.26	259.87	241.74	183.85	95.71	-8.17	-110.70	-195.03	-247.27	-258.85	-227.84	-159.36	-64.66	40.67	139.31	215.04	255.39	253.74	210.34	132.35
32.59	-72.54	-165.73	-231.66	-259.49	-244.63	-189.53	-103.26	-0.00	103.26	189.53	244.63	259.49	231.66	165.73	72.54	-32.59	-132.35	-210.34	-253.74	-255.39	-215.04	-139.31	-40.67	64.66	159.36	227.84	258.85	247.27	195.03	110.70	8.17	-95.71	-183.85	-241.74	-259.87	-235.26	-171.94	-80.34	24.47	125.26	205.44	251.83	256.80	219.53	146.14	48.72	-56.72
-152.82	-223.79	-257.95	-249.68	-200.33	-118.04	-16.33	88.07	177.98	238.62	260.00	238.62	177.98	88.07	-16.33	-118.04	-200.33	-249.68	-257.95	-223.79	-152.82	-56.72	48.72	146.14	219.53	256.80	251.83	205.44	125.26	24.47	-80.34	-171.94	-235.26	-259.87	-241.74	-183.85	-95.71	8.17	110.70	195.03	247.27	258.85	227.84	159.36	64.66	-40.67	-139.31	-215.04
-255.39	-253.74	-210.34	-132.35	-32.59	72.54	165.73	231.66	259.49	244.63	189.53	103.26	0.00	-103.26	-189.53	-244.63	-259.49	-231.66	-165.73	-72.54	32.59	132.35	210.34	253.74	255.39	215.04	139.31	40.67	-64.66	-159.36	-227.84	-258.85	-247.27	-195.03	-110.70	-8.17	95.71	183.85	241.74	259.87	235.26	171.94	80.34	-24.47	-125.26	-205.44	-251.83	-256.80
-219.53	-146.14	-48.72	56.72	152.82	223.79	257.95	249.68	200.33	118.04	16.33	-88.07	-177.98	-238.62	-260.00	-238.62	-177.98	-88.07	16.33	118.04	200.33	249.68	257.95	223.79	152.82	56.72	-48.72	-146.14	-219.53	-256.80	-251.83	-205.44	-125.26	-24.47	80.34	171.94	235.26	259.87	241.74	183.85	95.71	-8.17	-110.70	-195.03	-247.27	-258.85	-227.84	-159.36
-64.66	40.67	139.31	215.04	255.39	253.74	210.34	132.35	32.59	-72.54	-165.73	-231.66	-259.49	-244.63	-189.53	-103.26	-0.00	103.26	189.53	244.63	259.49	231.66	165.73	72.54	-32.59	-132.35	-210.34	-253.74	-255.39	-215.04	-139.31	-40.67	64.66	159.36	227.84	258.85	247.27	195.03	110.70	8.17	-95.71	-183.85	-241.74	-259.87	-235.26	-171.94	-80.34	24.47
125.26	205.44	251.83	256.80	219.53	146.14	48.72	-56.72	-152.82	-223.79	-257.95	-249.68	-200.33	-118.04	-16.33	88.07	177.98	238.62	260.00	238.62	177.98	88.07	-16.33	-118.04	-200.33	-249.68	-257.95	-223.79	-152.82	-56.72	48.72	146.14	219.53	256.80	251.83	205.44	125.26	24.47	-80.34	-171.94	-235.26	-259.87	-241.74	-183.85	-95.71	8.17	110.70	195.03
