20230406	1000	16	0
0	21	27	13	-10	-26	-23	-3	19	27	16	-6	-25	-25	-6	16
27	19	-3	-23	-26	-10	13	27	21	0	-21	-27	-13	10	26	23
3	-19	-27	-16	6	25	25	6	-16	-27	-19	3	23	26	10	-13
-27	-21	0	21	27	13	-10	-26	-23	-3	19	27	16	-6	-25	-25
-6	16	27	19	-3	-23	-26	-10	13	27	21	0	-21	-27	-13	10
26	23	3	-19	-27	-16	6	25	25	6	-16	-27	-19	3	23	26
10	-13	-27	-21	0	21	27	13	-10	-26	-23	-3	19	27	16	-6
-25	-25	-6	16	27	19	-3	-23	-26	-10	13	27	21	0	-21	-27
-13	10	26	23	3	-19	-27	-16	6	25	25	6	-16	-27	-19	3
23	26	10	-13	-27	-21	0	21	27	13	-10	-26	-23	-3	19	27
16	-6	-25	-25	-6	16	27	19	-3	-23	-26	-10	13	27	21	0
-21	-27	-13	10	26	23	3	-19	-27	-16	6	25	25	6	-16	-27
-19	3	23	26	10	-13	-27	-21	0	21	27	13	-10	-26	-23	-3
19	27	16	-6	-25	-25	-6	16	27	19	-3	-23	-26	-10	13	27
21	0	-21	-27	-13	10	26	23	3	-19	-27	-16	6	25	25	6
-16	-27	-19	3	23	26	10	-13	-27	-21	0	21	27	13	-10	-26
-23	-3	19	27	16	-6	-25	-25	-6	16	27	19	-3	-23	-26	-10
13	27	21	0	-21	-27	-13	10	26	23	3	-19	-27	-16	6	25
25	6	-16	-27	-19	3	23	26	10	-13	-27	-21	0	21	27	13
-10	-26	-23	-3	19	27	16	-6	-25	-25	-6	16	27	19	-3	-23
-26	-10	13	27	21	0	-21	-27	-13	10	26	23	3	-19	-27	-16
6	25	25	6	-16	-27	-19	3	23	26	10	-13	-27	-21	0	21
27	13	-10	-26	-23	-3	19	27	16	-6	-25	-25	-6	16	27	19
-3	-23	-26	-10	13	27	21	0	-21	-27	-13	10	26	23	3	-19
-27	-16	6	25	25	6	-16	-27	-19	3	23	26	10	-13	-27	-21
0	21	27	13	-10	-26	-23	-3	19	27	16	-6	-25	-25	-6	16
27	19	-3	-23	-26	-10	13	27	21	0	-21	-27	-13	10	26	23
3	-19	-27	-16	6	25	25	6	-16	-27	-19	3	23	26	10	-13
-27	-21	0	21	27	13	-10	-26	-23	-3	19	27	16	-6	-25	-25
-6	16	27	19	-3	-23	-26	-10	13	27	21	0	-21	-27	-13	10
26	23	3	-19	-27	-16	6	25	25	6	-16	-27	-19	3	23	26
10	-13	-27	-21	0	21	27	13	-10	-26	-23	-3	19	27	16	-6
